

EXPERIMENT: BIVARIATE, inc. confd shifts
METHOD: MI_ztest x KCI
FUN_FORM: NLIN

oracle
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			5_0_1(0.5_0.0_0.2)			[f1-p] 1.0 	+-0.0 (0.0) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 1.0 	+-0.0 (0.0) 	
			5_1_0(2.0_0.2_0.0)			[f1-p] 0.6 	+-0.5 (0.25) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.6 	+-0.5 (0.25) 	
			5_1_1(1.0_0.2_0.2)			[f1-p] 0.6 	+-0.5 (0.25) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.6 	+-0.5 (0.25) 	
			5_1_2(0.6666666666666666_0.2_0.4)			[f1-p] 0.6 	+-0.5 (0.25) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.6 	+-0.5 (0.25) 	
			5_1_3(0.5_0.2_0.6)			[f1-p] 0.6 	+-0.5 (0.25) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.6 	+-0.5 (0.25) 	
			5_1_4(0.4_0.2_0.8)			[f1-p] 0.6 	+-0.5 (0.25) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.6 	+-0.5 (0.25) 	
			5_2_1(1.5_0.4_0.2)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_2_0(3.0_0.4_0.0)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_2_2(1.0_0.4_0.4)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_2_3(0.75_0.4_0.6)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_2_4(0.6_0.4_0.8)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_3_1(2.0_0.6_0.2)			[f1-p] 0.4 	+-0.5 (0.25) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.4 	+-0.5 (0.25) 	
			5_3_2(1.3333333333333333_0.6_0.4)			[f1-p] 0.4 	+-0.5 (0.25) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.4 	+-0.5 (0.25) 	
			5_3_3(1.0_0.6_0.6)			[f1-p] 0.4 	+-0.5 (0.25) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.4 	+-0.5 (0.25) 	
	OVERALL
		x_x_x	[tp-pairs] 15.0	[fp-pairs] 11.0	[tn-pairs] 169.0	[fn-pairs] 165.0	[f1-pairs] 0.15	+-4.65(9.15)
				[tp-adj] 15.0	[fp-adj] 11.0	[tn-adj] 0.0	[fn-adj] 165.0	[f1-adj] 0.15	+-4.65(9.15)
				[tp] 720.0	[fp] 0.0	[tn] 0.0	[fn] 0.0	[f1] 1.0	+-0.0(0.0)
				[jacc] 0.51	[ari] 1.0	[ami] 1.0

coco
CONTEXTS_OBSSHIFT_CFDSHIFT
	METRIC:mi
			5_0_1(0.5_0.0_0.2)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_0_0(1.0_0.0_0.0)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_0_2(0.3333333333333333_0.0_0.4)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_0_3(0.25_0.0_0.6)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_0_4(0.2_0.0_0.8)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_1_0(2.0_0.2_0.0)			[f1-p] 0.6 	+-0.5 (0.25) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.6 	+-0.5 (0.25) 	
			5_1_1(1.0_0.2_0.2)			[f1-p] 0.6 	+-0.5 (0.25) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.6 	+-0.5 (0.25) 	
			5_1_2(0.6666666666666666_0.2_0.4)			[f1-p] 0.6 	+-0.5 (0.25) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.6 	+-0.5 (0.25) 	
			5_1_3(0.5_0.2_0.6)			[f1-p] 0.6 	+-0.5 (0.25) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.6 	+-0.5 (0.25) 	
			5_1_4(0.4_0.2_0.8)			[f1-p] 0.6 	+-0.5 (0.25) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.6 	+-0.5 (0.25) 	
			5_2_1(1.5_0.4_0.2)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_2_0(3.0_0.4_0.0)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_2_2(1.0_0.4_0.4)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_2_3(0.75_0.4_0.6)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_2_4(0.6_0.4_0.8)			[f1-p] 0.5 	+-0.51 (0.26) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.5 	+-0.51 (0.26) 	
			5_3_1(2.0_0.6_0.2)			[f1-p] 0.4 	+-0.5 (0.25) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.4 	+-0.5 (0.25) 	
			5_3_2(1.3333333333333333_0.6_0.4)			[f1-p] 0.4 	+-0.5 (0.25) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.4 	+-0.5 (0.25) 	
			5_3_3(1.0_0.6_0.6)			[f1-p] 0.4 	+-0.5 (0.25) 			[f1-c] 1.0 	+-0.0 (0.0) 			[f1-a] 0.4 	+-0.5 (0.25) 	
	OVERALL
		x_x_x	[tp-pairs] 15.0	[fp-pairs] 11.0	[tn-pairs] 169.0	[fn-pairs] 165.0	[f1-pairs] 0.15	+-4.65(9.15)
				[tp-adj] 15.0	[fp-adj] 11.0	[tn-adj] 0.0	[fn-adj] 165.0	[f1-adj] 0.15	+-4.65(9.15)
				[tp] 720.0	[fp] 0.0	[tn] 0.0	[fn] 0.0	[f1] 1.0	+-0.0(0.0)
				[jacc] 0.51	[ari] 1.0	[ami] 1.0

EXPERIMENT: CONFOUNDED COMPONENTS,  inc. confd shifts
METHOD: MI_ztest x KCI
FUN_FORM: NLIN
