X	5_1_20_sx_0	5_1_20_sx_0_conf	5_1_20_sx_1	5_1_20_sx_1_conf	5_1_20_sx_2	5_1_20_sx_2_conf	5_1_20_sx_3	5_1_20_sx_3_conf	5_1_20_sx_4	5_1_20_sx_4_conf	5_1_20_sx_5	5_1_20_sx_5_conf	5_1_20_sx_6	5_1_20_sx_6_conf	5_1_20_sx_7	5_1_20_sx_7_conf	5_1_20_sx_8	5_1_20_sx_8_conf	5_1_20_sx_9	5_1_20_sx_9_conf	5_1_20_sx_10	5_1_20_sx_10_conf	5_1_20_sx_11	5_1_20_sx_11_conf	5_1_20_sx_12	5_1_20_sx_12_conf	5_1_20_sx_13	5_1_20_sx_13_conf	5_1_20_sx_14	5_1_20_sx_14_conf	5_1_20_sx_15	5_1_20_sx_15_conf	5_1_20_sx_16	5_1_20_sx_16_conf	5_1_20_sx_17	5_1_20_sx_17_conf	5_1_20_sx_18	5_1_20_sx_18_conf	5_1_20_sx_19	5_1_20_sx_19_conf
10	0.62	0.08	0.63	0.08	0.66	0.08	0.65	0.07	0.66	0.07	0.67	0.05	0.69	0.07	0.66	0.08	0.67	0.08	0.69	0.09	0.67	0.09	0.69	0.09	0.68	0.09	0.66	0.06	0.64	0.07	0.55	0.08	0.36	0.07	0.33	0.06	0.25	0.08	0.0	0.0
11	0.61	0.07	0.57	0.06	0.56	0.05	0.6	0.04	0.65	0.05	0.65	0.06	0.64	0.05	0.64	0.05	0.59	0.09	0.68	0.07	0.64	0.08	0.63	0.08	0.61	0.08	0.6	0.09	0.55	0.1	0.47	0.1	0.3	0.07	0.27	0.06	0.21	0.08	0.0	0.0
12	0.52	0.07	0.54	0.07	0.58	0.05	0.58	0.06	0.59	0.06	0.6	0.06	0.54	0.09	0.53	0.09	0.52	0.1	0.61	0.07	0.6	0.07	0.6	0.08	0.59	0.08	0.54	0.07	0.48	0.11	0.4	0.1	0.26	0.06	0.25	0.06	0.18	0.08	0.0	0.0
13	0.53	0.06	0.53	0.05	0.49	0.06	0.51	0.07	0.48	0.06	0.5	0.05	0.56	0.03	0.55	0.04	0.55	0.06	0.56	0.07	0.54	0.08	0.55	0.07	0.56	0.06	0.46	0.08	0.37	0.1	0.32	0.08	0.23	0.06	0.21	0.06	0.17	0.09	0.0	0.0
14	0.42	0.05	0.4	0.04	0.41	0.04	0.46	0.04	0.51	0.05	0.53	0.04	0.56	0.05	0.53	0.06	0.51	0.06	0.48	0.07	0.43	0.07	0.44	0.08	0.43	0.08	0.35	0.1	0.28	0.1	0.25	0.08	0.2	0.06	0.18	0.07	0.15	0.07	0.0	0.0
15	0.36	0.06	0.36	0.05	0.4	0.05	0.45	0.05	0.49	0.07	0.47	0.07	0.45	0.07	0.47	0.06	0.42	0.06	0.37	0.07	0.32	0.08	0.32	0.08	0.33	0.06	0.26	0.07	0.2	0.07	0.2	0.09	0.15	0.07	0.09	0.04	0.1	0.04	0.0	0.0
16	0.42	0.07	0.39	0.06	0.37	0.05	0.34	0.05	0.32	0.06	0.33	0.05	0.31	0.06	0.3	0.06	0.26	0.06	0.23	0.06	0.18	0.05	0.16	0.06	0.14	0.05	0.1	0.02	0.08	0.02	0.08	0.02	0.05	0.01	0.05	0.02	0.06	0.02	0.0	0.0
17	0.27	0.07	0.22	0.08	0.19	0.06	0.13	0.02	0.12	0.02	0.09	0.02	0.07	0.01	0.06	0.01	0.06	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.03	0.01	0.04	0.01	0.03	0.01	0.03	0.01	0.02	0.01	0.04	0.02	0.05	0.02	0.0	0.0
18	0.05	0.02	0.05	0.02	0.05	0.02	0.05	0.02	0.05	0.02	0.05	0.02	0.05	0.02	0.05	0.02	0.05	0.02	0.05	0.02	0.04	0.02	0.04	0.02	0.04	0.02	0.04	0.02	0.04	0.02	0.04	0.02	0.04	0.02	0.04	0.02	0.05	0.02	0.0	0.0
19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0X	5_1_20_sx_0	5_1_20_sx_0_conf	5_1_20_sx_1	5_1_20_sx_1_conf	5_1_20_sx_2	5_1_20_sx_2_conf	5_1_20_sx_3	5_1_20_sx_3_conf	5_1_20_sx_4	5_1_20_sx_4_conf	5_1_20_sx_5	5_1_20_sx_5_conf	5_1_20_sx_6	5_1_20_sx_6_conf	5_1_20_sx_7	5_1_20_sx_7_conf	5_1_20_sx_8	5_1_20_sx_8_conf	5_1_20_sx_9	5_1_20_sx_9_conf	5_1_20_sx_10	5_1_20_sx_10_conf	5_1_20_sx_11	5_1_20_sx_11_conf	5_1_20_sx_12	5_1_20_sx_12_conf	5_1_20_sx_13	5_1_20_sx_13_conf	5_1_20_sx_14	5_1_20_sx_14_conf	5_1_20_sx_15	5_1_20_sx_15_conf	5_1_20_sx_16	5_1_20_sx_16_conf	5_1_20_sx_17	5_1_20_sx_17_conf	5_1_20_sx_18	5_1_20_sx_18_conf	5_1_20_sx_19	5_1_20_sx_19_conf
0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0
1	0.55	0.09	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.85	0.05	0.91	0.05	0.0	0.0
2	0.87	0.03	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.99	0.0	0.77	0.06	0.83	0.07	0.0	0.0
3	0.93	0.02	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.98	0.01	0.7	0.07	0.81	0.1	0.0	0.0
4	0.93	0.02	0.99	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.97	0.01	0.96	0.01	0.98	0.0	0.91	0.02	0.59	0.08	0.71	0.11	0.0	0.0
5	0.92	0.04	0.99	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.99	0.0	0.98	0.0	0.97	0.01	0.97	0.01	0.98	0.0	0.88	0.03	0.57	0.07	0.62	0.12	0.0	0.0
6	0.98	0.0	0.99	0.0	0.99	0.0	0.99	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.99	0.0	1.0	0.0	0.99	0.0	0.93	0.05	0.96	0.01	0.96	0.01	0.96	0.01	0.79	0.05	0.49	0.07	0.48	0.13	0.0	0.0
7	0.92	0.02	0.94	0.01	0.96	0.01	0.99	0.0	1.0	0.0	0.99	0.0	0.99	0.0	0.99	0.0	0.98	0.0	0.98	0.0	0.97	0.0	0.96	0.01	0.88	0.06	0.92	0.02	0.89	0.02	0.88	0.02	0.6	0.08	0.39	0.06	0.34	0.09	0.0	0.0
8	0.88	0.03	0.88	0.03	0.93	0.01	0.96	0.01	0.98	0.0	0.97	0.01	0.96	0.0	0.94	0.01	0.89	0.01	0.93	0.01	0.94	0.01	0.91	0.01	0.84	0.06	0.86	0.04	0.83	0.03	0.8	0.04	0.52	0.09	0.35	0.07	0.31	0.1	0.0	0.0
9	0.72	0.08	0.75	0.08	0.88	0.03	0.9	0.03	0.93	0.01	0.84	0.04	0.89	0.03	0.86	0.03	0.85	0.03	0.86	0.05	0.81	0.07	0.78	0.08	0.77	0.07	0.79	0.05	0.75	0.06	0.71	0.06	0.45	0.11	0.27	0.05	0.23	0.08	0.0	0.0
10	0.74	0.07	0.74	0.06	0.83	0.04	0.81	0.03	0.8	0.02	0.81	0.02	0.8	0.06	0.73	0.05	0.75	0.05	0.76	0.06	0.72	0.06	0.74	0.08	0.74	0.09	0.75	0.07	0.7	0.09	0.57	0.1	0.31	0.07	0.24	0.04	0.18	0.06	0.0	0.0
11	0.68	0.06	0.62	0.06	0.61	0.05	0.68	0.03	0.75	0.03	0.72	0.03	0.71	0.04	0.72	0.03	0.62	0.07	0.72	0.04	0.65	0.06	0.63	0.07	0.65	0.08	0.63	0.09	0.58	0.12	0.49	0.13	0.26	0.08	0.19	0.03	0.16	0.07	0.0	0.0
12	0.49	0.06	0.52	0.06	0.6	0.05	0.59	0.05	0.59	0.05	0.58	0.05	0.5	0.07	0.49	0.07	0.49	0.08	0.62	0.06	0.6	0.07	0.59	0.07	0.6	0.08	0.55	0.09	0.48	0.13	0.4	0.12	0.23	0.07	0.18	0.03	0.14	0.07	0.0	0.0
13	0.51	0.07	0.51	0.06	0.49	0.08	0.51	0.08	0.48	0.09	0.51	0.07	0.58	0.04	0.56	0.05	0.57	0.07	0.58	0.07	0.54	0.08	0.55	0.08	0.55	0.08	0.45	0.11	0.37	0.13	0.31	0.11	0.2	0.07	0.15	0.04	0.13	0.07	0.0	0.0
14	0.36	0.04	0.34	0.04	0.38	0.06	0.43	0.06	0.5	0.07	0.5	0.06	0.54	0.06	0.51	0.07	0.48	0.07	0.45	0.07	0.4	0.08	0.41	0.1	0.39	0.09	0.33	0.11	0.27	0.11	0.22	0.09	0.18	0.07	0.13	0.04	0.11	0.04	0.0	0.0
15	0.31	0.08	0.33	0.08	0.36	0.08	0.41	0.06	0.45	0.07	0.41	0.07	0.4	0.07	0.41	0.06	0.36	0.06	0.31	0.06	0.26	0.07	0.26	0.08	0.27	0.06	0.21	0.07	0.17	0.07	0.16	0.07	0.12	0.06	0.06	0.02	0.06	0.02	0.0	0.0
16	0.36	0.07	0.34	0.06	0.32	0.06	0.28	0.03	0.25	0.04	0.26	0.04	0.24	0.04	0.23	0.04	0.2	0.04	0.18	0.04	0.13	0.03	0.12	0.03	0.1	0.03	0.06	0.01	0.05	0.01	0.06	0.01	0.03	0.01	0.04	0.01	0.04	0.01	0.0	0.0
17	0.2	0.06	0.17	0.07	0.14	0.05	0.08	0.01	0.08	0.01	0.06	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.02	0.01	0.03	0.01	0.02	0.01	0.02	0.01	0.02	0.01	0.03	0.01	0.03	0.01	0.0	0.0
18	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.03	0.01	0.0	0.0
19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0X	5_1_20_sx_0	5_1_20_sx_0_conf	5_1_20_sx_1	5_1_20_sx_1_conf	5_1_20_sx_2	5_1_20_sx_2_conf	5_1_20_sx_3	5_1_20_sx_3_conf	5_1_20_sx_4	5_1_20_sx_4_conf	5_1_20_sx_5	5_1_20_sx_5_conf	5_1_20_sx_6	5_1_20_sx_6_conf	5_1_20_sx_7	5_1_20_sx_7_conf	5_1_20_sx_8	5_1_20_sx_8_conf	5_1_20_sx_9	5_1_20_sx_9_conf	5_1_20_sx_10	5_1_20_sx_10_conf	5_1_20_sx_11	5_1_20_sx_11_conf	5_1_20_sx_12	5_1_20_sx_12_conf	5_1_20_sx_13	5_1_20_sx_13_conf	5_1_20_sx_14	5_1_20_sx_14_conf	5_1_20_sx_15	5_1_20_sx_15_conf	5_1_20_sx_16	5_1_20_sx_16_conf	5_1_20_sx_17	5_1_20_sx_17_conf	5_1_20_sx_18	5_1_20_sx_18_conf	5_1_20_sx_19	5_1_20_sx_19_conf
0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1	0.34	0.13	0.47	0.21	0.58	0.21	0.53	0.22	0.54	0.22	0.57	0.21	0.57	0.21	0.59	0.22	0.54	0.23	0.48	0.25	0.51	0.23	0.48	0.25	0.47	0.24	0.44	0.25	0.43	0.24	0.42	0.23	0.39	0.19	0.3	0.11	0.27	0.11	0.07	0.01
2	0.52	0.2	0.58	0.21	0.59	0.22	0.57	0.24	0.55	0.23	0.55	0.23	0.54	0.24	0.57	0.24	0.55	0.24	0.56	0.24	0.57	0.24	0.53	0.24	0.54	0.24	0.5	0.21	0.39	0.16	0.42	0.16	0.32	0.1	0.24	0.07	0.07	0.01	0.07	0.01
3	0.57	0.2	0.6	0.21	0.61	0.22	0.61	0.22	0.6	0.22	0.61	0.23	0.61	0.22	0.62	0.23	0.62	0.23	0.6	0.23	0.62	0.22	0.6	0.22	0.45	0.18	0.43	0.16	0.4	0.14	0.36	0.11	0.28	0.08	0.2	0.05	0.06	0.01	0.06	0.01
4	0.59	0.21	0.61	0.22	0.63	0.23	0.61	0.22	0.59	0.21	0.59	0.23	0.58	0.22	0.57	0.23	0.57	0.23	0.51	0.2	0.53	0.22	0.46	0.18	0.41	0.14	0.35	0.13	0.34	0.1	0.3	0.08	0.2	0.05	0.13	0.03	0.07	0.01	0.07	0.01
5	0.59	0.22	0.62	0.22	0.61	0.22	0.59	0.22	0.55	0.22	0.55	0.22	0.54	0.22	0.55	0.22	0.5	0.21	0.48	0.19	0.45	0.17	0.42	0.17	0.39	0.15	0.35	0.12	0.31	0.08	0.31	0.11	0.2	0.06	0.17	0.05	0.06	0.01	0.06	0.01
6	0.62	0.22	0.62	0.22	0.61	0.22	0.57	0.2	0.56	0.22	0.55	0.22	0.54	0.22	0.52	0.22	0.48	0.19	0.47	0.19	0.38	0.16	0.35	0.15	0.33	0.14	0.32	0.1	0.3	0.11	0.29	0.1	0.26	0.07	0.27	0.1	0.23	0.09	0.06	0.01
7	0.59	0.2	0.6	0.21	0.58	0.21	0.57	0.2	0.57	0.2	0.52	0.21	0.51	0.19	0.48	0.17	0.45	0.17	0.41	0.15	0.37	0.14	0.32	0.11	0.32	0.11	0.3	0.1	0.27	0.1	0.23	0.05	0.14	0.03	0.1	0.02	0.05	0.01	0.05	0.01
8	0.52	0.18	0.53	0.18	0.53	0.18	0.48	0.18	0.49	0.19	0.49	0.18	0.49	0.19	0.43	0.16	0.4	0.16	0.39	0.15	0.34	0.12	0.3	0.11	0.3	0.11	0.29	0.1	0.25	0.09	0.21	0.06	0.13	0.03	0.09	0.02	0.04	0.01	0.04	0.01
9	0.49	0.16	0.47	0.15	0.5	0.17	0.46	0.18	0.42	0.15	0.41	0.16	0.41	0.16	0.42	0.17	0.39	0.16	0.35	0.12	0.32	0.11	0.26	0.09	0.25	0.09	0.24	0.1	0.19	0.07	0.15	0.04	0.12	0.03	0.09	0.02	0.05	0.01	0.05	0.01
10	0.5	0.16	0.49	0.15	0.49	0.16	0.47	0.16	0.44	0.14	0.42	0.13	0.39	0.11	0.38	0.12	0.36	0.13	0.31	0.1	0.29	0.09	0.27	0.1	0.27	0.11	0.25	0.11	0.21	0.08	0.17	0.05	0.12	0.03	0.1	0.03	0.05	0.01	0.05	0.01
11	0.45	0.16	0.43	0.14	0.41	0.13	0.34	0.09	0.34	0.08	0.29	0.09	0.3	0.08	0.32	0.08	0.29	0.09	0.25	0.08	0.22	0.07	0.23	0.08	0.2	0.06	0.18	0.06	0.17	0.05	0.14	0.04	0.11	0.03	0.08	0.01	0.05	0.01	0.05	0.01
12	0.3	0.07	0.32	0.08	0.34	0.09	0.31	0.09	0.29	0.07	0.24	0.06	0.25	0.06	0.25	0.06	0.24	0.06	0.24	0.06	0.2	0.05	0.17	0.05	0.17	0.04	0.15	0.04	0.12	0.03	0.11	0.03	0.09	0.03	0.07	0.01	0.04	0.01	0.03	0.0
13	0.23	0.05	0.24	0.05	0.28	0.06	0.28	0.07	0.25	0.06	0.24	0.06	0.25	0.06	0.24	0.06	0.24	0.06	0.22	0.05	0.18	0.04	0.17	0.05	0.15	0.04	0.13	0.03	0.12	0.03	0.09	0.02	0.07	0.02	0.04	0.01	0.02	0.0	0.02	0.0
14	0.24	0.06	0.22	0.05	0.21	0.04	0.22	0.05	0.2	0.04	0.18	0.03	0.19	0.04	0.21	0.04	0.21	0.06	0.19	0.04	0.16	0.04	0.15	0.04	0.11	0.03	0.09	0.03	0.09	0.03	0.07	0.02	0.05	0.02	0.02	0.0	0.02	0.0	0.02	0.0
15	0.19	0.07	0.2	0.08	0.2	0.07	0.21	0.07	0.19	0.06	0.16	0.05	0.16	0.05	0.16	0.05	0.15	0.04	0.13	0.03	0.11	0.02	0.11	0.02	0.11	0.02	0.12	0.02	0.1	0.02	0.1	0.02	0.09	0.02	0.07	0.01	0.03	0.0	0.01	0.0
16	0.27	0.07	0.27	0.07	0.27	0.07	0.23	0.06	0.21	0.05	0.19	0.04	0.19	0.04	0.19	0.04	0.16	0.04	0.13	0.03	0.12	0.03	0.11	0.02	0.1	0.02	0.1	0.02	0.09	0.02	0.08	0.02	0.08	0.02	0.07	0.01	0.03	0.0	0.01	0.0
17	0.12	0.02	0.09	0.01	0.07	0.01	0.07	0.01	0.07	0.01	0.06	0.01	0.04	0.01	0.04	0.01	0.03	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.02	0.0	0.01	0.0	0.0	0.0
18	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.04	0.01	0.03	0.0	0.03	0.0	0.03	0.0	0.03	0.0	0.03	0.0	0.03	0.0	0.03	0.0	0.03	0.0	0.02	0.0	0.02	0.0	0.0	0.0	0.0	0.0
19	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
